[04/07/2022 02:32:02] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 12:22:20] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 12:27:39] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 12:28:45] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 12:30:59] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 17:08:26] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 17:13:42] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 17:22:32] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 21:08:56] [INFO] received Windows console close event; shutting log-core down
[04/07/2022 21:13:23] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 01:25:27] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 01:29:03] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 13:51:05] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 13:59:06] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 14:05:01] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 14:23:32] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 15:57:21] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 15:58:49] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:01:23] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:08:13] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:14:58] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:17:46] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:22:04] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:24:42] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 16:27:43] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:37:43] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:39:36] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:40:51] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:41:34] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:44:13] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:45:52] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:46:59] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:51:11] [INFO] received Windows console close event; shutting log-core down
[05/07/2022 21:54:01] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:30:19] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:35:01] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:37:07] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:39:14] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:43:14] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:44:55] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:47:08] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 00:50:41] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 01:05:23] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 03:32:39] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 08:57:03] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 09:02:58] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 09:13:21] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 23:20:15] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 23:26:57] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 23:28:24] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 23:32:01] [INFO] received Windows console close event; shutting log-core down
[06/07/2022 23:59:23] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:01:59] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:21:32] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:24:15] [INFO] received Windows console close event; shutting log-core down
[07/07/2022 00:28:53] [INFO] received Windows console close event; shutting log-core down
